Date,maxT,minT,prcpt,rDate,year,month,droughtThresh,droughtPeriod,periodCount,drought
19/09/76,14.9,6.8,0,1976-09-19,1976,Sep,1,Start,2,Not drought
21/09/76,18.8,12.4,0.2,1976-09-21,1976,Sep,0,End,,
22/09/76,19,11,0,1976-09-22,1976,Sep,1,Start,1,Not drought
23/09/76,15.3,10.2,12.2,1976-09-23,1976,Sep,0,End,,
24/09/76,15.5,10.7,0,1976-09-24,1976,Sep,1,Start,1,Not drought
25/09/76,14.2,11.5,46.4,1976-09-25,1976,Sep,0,End,,
30/09/76,15.1,9.2,0,1976-09-30,1976,Sep,1,Start,1,Not drought
1/10/76,13.8,11.2,9.3,1976-10-01,1976,Oct,0,End,,
17/10/76,10.4,6.4,0,1976-10-17,1976,Oct,1,Start,1,Not drought
18/10/76,10.6,5.8,6.4,1976-10-18,1976,Oct,0,End,,
20/10/76,9.5,5.7,0,1976-10-20,1976,Oct,1,Start,1,Not drought
21/10/76,10.5,4.9,5.5,1976-10-21,1976,Oct,0,End,,
27/10/76,9.3,7.3,0,1976-10-27,1976,Oct,1,Start,1,Not drought
28/10/76,10,6.4,0.3,1976-10-28,1976,Oct,0,End,,
31/10/76,7.7,2.7,0,1976-10-31,1976,Oct,1,Start,1,Not drought
1/11/76,8.4,3.7,9.3,1976-11-01,1976,Nov,0,End,,
3/11/76,6.1,-1.7,0,1976-11-03,1976,Nov,1,Start,1,Not drought
4/11/76,6.6,-0.1,0.3,1976-11-04,1976,Nov,0,End,,
11/11/76,6.4,0.3,0,1976-11-11,1976,Nov,1,Start,4,Not drought
15/11/76,5.4,1.2,1.4,1976-11-15,1976,Nov,0,End,,
19/11/76,8,5.9,0,1976-11-19,1976,Nov,1,Start,4,Not drought
23/11/76,4.5,-1.2,0.5,1976-11-23,1976,Nov,0,End,,
25/11/76,7.8,6.6,0,1976-11-25,1976,Nov,1,Start,2,Not drought
27/11/76,8.2,5.5,9.5,1976-11-27,1976,Nov,0,End,,
3/12/76,0.8,-4.6,0,1976-12-03,1976,Dec,1,Start,3,Not drought
6/12/76,2.5,-1.8,10.4,1976-12-06,1976,Dec,0,End,,
10/12/76,3,-2.4,0,1976-12-10,1976,Dec,1,Start,1,Not drought
11/12/76,1.9,-2,2.3,1976-12-11,1976,Dec,0,End,,
24/12/76,3.2,1.5,0,1976-12-24,1976,Dec,1,Start,3,Not drought
27/12/76,1.8,-0.9,0.7,1976-12-27,1976,Dec,0,End,,
29/12/76,2.3,-6.8,0,1976-12-29,1976,Dec,1,Start,2,Not drought
31/12/76,2.5,-0.2,5.5,1976-12-31,1976,Dec,0,End,,
3/01/77,1.3,-4,0,1977-01-03,1977,Jan,1,Start,2,Not drought
